PhraseId	SentenceId	Phrase	Sentiment
227	8	with wit it plays like a reading from Bartlett 's Familiar Quotations	3
229	8	wit it plays like a reading from Bartlett 's Familiar Quotations	2
231	8	it plays like a reading from Bartlett 's Familiar Quotations	2
233	8	plays like a reading from Bartlett 's Familiar Quotations	3
235	8	like a reading from Bartlett 's Familiar Quotations	2
237	8	a reading from Bartlett 's Familiar Quotations	2
240	8	from Bartlett 's Familiar Quotations	2
242	8	Bartlett 's Familiar Quotations	2
248	9	But it does n't leave you with much .	1
249	9	it does n't leave you with much .	1
250	9	does n't leave you with much .	1
260	10	You could hate it for the same reason .	1
261	10	could hate it for the same reason .	1
262	10	could hate it for the same reason	0
276	11	's little to recommend Snow Dogs ,	1
277	11	's little to recommend Snow Dogs	1
288	11	one considers cliched dialogue and perverse escapism a source of high hilarity	2
289	11	considers cliched dialogue and perverse escapism a source of high hilarity	2
291	11	cliched dialogue and perverse escapism a source of high hilarity	1
292	11	cliched dialogue and perverse escapism	1
315	12	is Oedekerk 's realization of his childhood dream to be in a martial-arts flick	2
316	12	Oedekerk 's realization of his childhood dream to be in a martial-arts flick	2
317	12	Oedekerk 's realization of his childhood dream	2
336	12	proves that sometimes the dreams of youth should remain just that	1
338	12	that sometimes the dreams of youth should remain just that	1
339	12	sometimes the dreams of youth should remain just that	1
341	12	the dreams of youth should remain just that	2
353	13	The performances are an absolute joy .	4
387	14	can distort our perspective and throw us off the path of good sense	2
389	14	distort our perspective and throw us off the path of good sense	2
396	14	throw us off the path of good sense	2
408	15	I still like Moonlight Mile , better judgment be damned .	3
409	15	still like Moonlight Mile , better judgment be damned .	3
411	15	like Moonlight Mile , better judgment be damned .	2
412	15	like Moonlight Mile , better judgment be damned	2
413	15	Moonlight Mile , better judgment be damned	2
414	15	Moonlight Mile , better judgment	2
425	16	A welcome relief from baseball movies that try too hard to be mythic	3
430	16	from baseball movies that try too hard to be mythic	1
431	16	baseball movies that try too hard to be mythic	0
435	16	that try too hard to be mythic	1
444	16	, this one is a sweet and modest and ultimately winning story .	3
445	16	this one is a sweet and modest and ultimately winning story .	4
446	16	is a sweet and modest and ultimately winning story .	4
447	16	is a sweet and modest and ultimately winning story	3
448	16	a sweet and modest and ultimately winning story	3
459	17	a bilingual charmer , just like the woman who inspired it	3
465	17	just like the woman who inspired it	2
466	17	like the woman who inspired it	2
475	18	Like a less dizzily gorgeous companion to Mr.	3
476	18	a less dizzily gorgeous companion to Mr.	2
477	18	a less dizzily gorgeous companion	2
478	18	less dizzily gorgeous companion	2
491	18	's In the Mood for Love -- very much a Hong Kong movie	2
492	18	In the Mood for Love -- very much a Hong Kong movie	3
493	18	the Mood for Love -- very much a Hong Kong movie	2
496	18	for Love -- very much a Hong Kong movie	2
497	18	Love -- very much a Hong Kong movie	3
517	19	As inept as big-screen remakes of The Avengers and The Wild Wild West .	1
518	19	As inept as big-screen remakes of The Avengers and The Wild Wild West	2
522	19	as big-screen remakes of The Avengers and The Wild Wild West	1
523	19	big-screen remakes of The Avengers and The Wild Wild West	2
527	19	of The Avengers and The Wild Wild West	2
528	19	The Avengers and The Wild Wild West	2
537	20	It 's everything you 'd expect -- but nothing more .	2
538	20	's everything you 'd expect -- but nothing more .	1
539	20	's everything you 'd expect -- but nothing more	2
540	20	everything you 'd expect -- but nothing more	1
542	20	you 'd expect -- but nothing more	1
552	21	Best indie of the year , so far .	4
566	22	Hatfield and Hicks make the oddest of couples , and	2
567	22	Hatfield and Hicks make the oddest of couples ,	2
568	22	Hatfield and Hicks make the oddest of couples	2
586	22	becomes a study of the gambles of the publishing world ,	2
587	22	becomes a study of the gambles of the publishing world	2
589	22	a study of the gambles of the publishing world	2
592	22	of the gambles of the publishing world	2
593	22	the gambles of the publishing world	2
603	22	a case study that exists apart from all the movie 's political ramifications	3
607	22	that exists apart from all the movie 's political ramifications	2
608	22	exists apart from all the movie 's political ramifications	2
612	22	from all the movie 's political ramifications	2
613	22	all the movie 's political ramifications	2
614	22	the movie 's political ramifications	2
633	23	watching the host defend himself against a frothing ex-girlfriend	2
635	23	the host defend himself against a frothing ex-girlfriend	2
638	23	defend himself against a frothing ex-girlfriend	2
642	23	against a frothing ex-girlfriend	2
649	24	That the Chuck Norris `` grenade gag ''	2
650	24	the Chuck Norris `` grenade gag ''	2
651	24	Chuck Norris `` grenade gag ''	2
666	24	about 7 times during Windtalkers	2
674	24	is a good indication of how serious-minded the film is	3
675	24	a good indication of how serious-minded the film is	3
679	24	of how serious-minded the film is	2
680	24	how serious-minded the film is	3
687	25	The plot is romantic comedy boilerplate from start to finish .	2
690	25	is romantic comedy boilerplate from start to finish .	2
691	25	is romantic comedy boilerplate from start to finish	3
692	25	romantic comedy boilerplate from start to finish	2
693	25	romantic comedy boilerplate from start	2
709	26	an impeccable pedigree , mongrel pep , and almost	2
710	26	an impeccable pedigree , mongrel pep , and	2
711	26	an impeccable pedigree , mongrel pep ,	2
712	26	an impeccable pedigree , mongrel pep	3
713	26	impeccable pedigree , mongrel pep	3
722	26	indecipherable plot complications	1
726	27	A film that clearly means to preach exclusively to the converted .	2
734	27	preach exclusively to the converted .	1
735	27	preach exclusively to the converted	2
746	28	The Importance of Being Earnest	3
749	28	offers opportunities for occasional smiles and chuckles	2
750	28	offers opportunities for occasional smiles and	3
751	28	offers opportunities for occasional smiles	3
753	28	opportunities for occasional smiles	2
767	28	a reason to be in the theater beyond Wilde 's wit and the actors ' performances	2
768	28	reason to be in the theater beyond Wilde 's wit and the actors ' performances	2
769	28	to be in the theater beyond Wilde 's wit and the actors ' performances	2
770	28	be in the theater beyond Wilde 's wit and the actors ' performances	2
775	28	beyond Wilde 's wit and the actors ' performances	2
777	28	Wilde 's wit and the actors ' performances	2
798	29	to appropriate the structure of Arthur Schnitzler 's Reigen	2
799	29	appropriate the structure of Arthur Schnitzler 's Reigen	2
804	29	of Arthur Schnitzler 's Reigen	2
813	30	More vaudeville show than well-constructed narrative , but	2
814	30	More vaudeville show than well-constructed narrative ,	1
815	30	More vaudeville show than well-constructed narrative	1
818	30	show than well-constructed narrative	3
820	30	than well-constructed narrative	3
825	30	on those terms it 's inoffensive and actually rather sweet	3
831	30	it 's inoffensive and actually rather sweet	3
832	30	's inoffensive and actually rather sweet	3
833	30	inoffensive and actually rather sweet	3
840	31	Nothing more than a run-of-the-mill action flick .	2
841	31	more than a run-of-the-mill action flick .	2
842	31	more than a run-of-the-mill action	3
851	32	Hampered -- no , paralyzed -- by a self-indulgent script ...	1
852	32	Hampered -- no , paralyzed -- by a self-indulgent script	1
867	32	that aims for poetry and ends up sounding like satire	1
868	32	aims for poetry and ends up sounding like satire	1
890	33	is the first computer-generated feature cartoon to feel like other movies	3
891	33	the first computer-generated feature cartoon to feel like other movies	4
892	33	the first computer-generated feature cartoon	2
893	33	first computer-generated feature cartoon	3
895	33	computer-generated feature cartoon	2
906	33	that makes for some glacial pacing early on	2
907	33	makes for some glacial pacing early on	1
919	34	There 's very little sense to what 's going on here , but	1
920	34	There 's very little sense to what 's going on here ,	0
921	34	There 's very little sense to what 's going on here	1
922	34	's very little sense to what 's going on here	1
923	34	very little sense to what 's going on here	1
932	34	the makers serve up the cliches with considerable dash	2
935	34	serve up the cliches with considerable dash	2
938	34	the cliches with considerable dash	1
951	35	followed the runaway success of his first film , The Full Monty ,	3
953	35	the runaway success of his first film , The Full Monty ,	4
958	35	of his first film , The Full Monty ,	1
959	35	his first film , The Full Monty ,	2
960	35	his first film , The Full Monty	2
977	36	the unnamed , easily substitutable forces	1
978	36	unnamed , easily substitutable forces	2
979	36	unnamed , easily substitutable	1
986	36	that serve as whatever terror the heroes of horror movies try to avoid	2
987	36	serve as whatever terror the heroes of horror movies try to avoid	2
988	36	as whatever terror the heroes of horror movies try to avoid	2
989	36	whatever terror the heroes of horror movies try to avoid	1
991	36	terror the heroes of horror movies try to avoid	1
993	36	the heroes of horror movies try to avoid	1
1008	37	as if the movie is more interested in entertaining itself than in amusing us	1
1009	37	if the movie is more interested in entertaining itself than in amusing us	1
1011	37	the movie is more interested in entertaining itself than in amusing us	1
1012	37	is more interested in entertaining itself than in amusing us	1
1013	37	more interested in entertaining itself than in amusing us	1
1014	37	more interested in entertaining itself	1
1015	37	interested in entertaining itself	3
1025	38	The movie 's progression into rambling incoherence	0
1033	38	gives new meaning to the phrase ` fatal script error . '	0
1034	38	gives new meaning to the phrase ` fatal script error .	2
1035	38	gives new meaning to the phrase ` fatal script error	1
1041	38	to the phrase ` fatal script error	1
1042	38	the phrase ` fatal script error	1
1053	39	Do n't judge this one too soon -	2
1054	39	Do n't judge this one too soon	3
1064	39	it 's a dark , gritty story but	3
1073	39	it takes off in totally unexpected directions and keeps on going	3
1074	39	takes off in totally unexpected directions and keeps on going	2
1075	39	takes off in totally unexpected directions and	3
1076	39	takes off in totally unexpected directions	3
1079	39	in totally unexpected directions	2
1088	40	So could young romantics out on a date .	3
1089	40	could young romantics out on a date .	2
1090	40	could young romantics out on a date	3
1102	41	Tartakovsky 's team has some freakish powers of visual charm , but	3
1103	41	Tartakovsky 's team has some freakish powers of visual charm ,	3
1104	41	Tartakovsky 's team has some freakish powers of visual charm	3
1109	41	has some freakish powers of visual charm	3
1110	41	some freakish powers of visual charm	2
1119	41	the five writers slip into the modern rut of narrative banality	2
1124	41	slip into the modern rut of narrative banality	1
1126	41	into the modern rut of narrative banality	1
1127	41	the modern rut of narrative banality	1
1139	42	is right at home in this French shocker playing his usual bad boy weirdo role .	3
1140	42	is right at home in this French shocker playing his usual bad boy weirdo role	3
1141	42	is right at home in this French shocker	2
1142	42	right at home in this French shocker	3
1153	42	playing his usual bad boy weirdo role	2
1166	43	If a horror movie 's primary goal is to frighten and disturb	2
1167	43	a horror movie 's primary goal is to frighten and disturb	2
1168	43	a horror movie 's primary goal	2
1181	43	then They works spectacularly well ... A shiver-inducing , nerve-rattling ride .	4
1183	43	They works spectacularly well ... A shiver-inducing , nerve-rattling ride .	4
1184	43	works spectacularly well ... A shiver-inducing , nerve-rattling ride .	4
1185	43	works spectacularly well ... A shiver-inducing , nerve-rattling ride	4
1192	43	A shiver-inducing , nerve-rattling ride	2
1199	44	This 100-minute movie only has about 25 minutes of decent material .	1
1203	44	only has about 25 minutes of decent material .	1
1205	44	has about 25 minutes of decent material .	3
1206	44	has about 25 minutes of decent material	1
1207	44	about 25 minutes of decent material	1
1216	45	Fortunately , you still have that option .	2
1218	45	, you still have that option .	2
1233	46	hell-jaunt purists might like and more experimental in its storytelling	2
1237	46	might like and more experimental in its storytelling	3
1239	46	like and more experimental in its storytelling	2
1241	46	more experimental in its storytelling	3
1247	46	-LRB- though no less horrifying for it -RRB-	2
1249	46	though no less horrifying for it -RRB-	2
1259	47	As tricky and satisfying as any of David	3
1260	47	tricky and satisfying as any of David	3
1270	47	Mamet 's airless cinematic shell games .	3
1273	47	airless cinematic shell games .	1
1282	48	'm sure the filmmaker would disagree , but , honestly , I do n't see the point .	1
1283	48	'm sure the filmmaker would disagree , but , honestly , I do n't see the point	0
1285	48	sure the filmmaker would disagree , but , honestly , I do n't see the point	1
1287	48	the filmmaker would disagree , but , honestly , I do n't see the point	1
1288	48	the filmmaker would disagree , but ,	2
1289	48	the filmmaker would disagree , but	2
1290	48	the filmmaker would disagree ,	2
1296	48	honestly , I do n't see the point	0
1317	49	drawn engaging characters while peppering the pages with memorable zingers	3
1323	49	while peppering the pages with memorable zingers	3
1324	49	peppering the pages with memorable zingers	3
1344	50	call for prevention rather than to place blame ,	2
1345	50	call for prevention rather than to place blame	2
1347	50	for prevention rather than to place blame	2
1356	50	making it one of the best war movies ever made	4
1358	50	it one of the best war movies ever made	4
1359	50	one of the best war movies ever made	4
1360	50	of the best war movies ever made	4
1384	51	in the life of the celebrated Irish playwright , poet and drinker	2
1385	51	the life of the celebrated Irish playwright , poet and drinker	2
1388	51	of the celebrated Irish playwright , poet and drinker	2
1389	51	the celebrated Irish playwright , poet and drinker	2
1390	51	celebrated Irish playwright , poet and drinker	2
1392	51	Irish playwright , poet and drinker	2
1407	52	coming down off of Miramax 's deep shelves after a couple of aborted attempts ,	1
1408	52	coming down off of Miramax 's deep shelves after a couple of aborted attempts	2
1409	52	coming down off of Miramax 's deep shelves	2
1421	52	after a couple of aborted attempts	1
1435	52	a strong case for letting sleeping dogs lie	1
1456	53	, all the interesting developments are processed in 60 minutes	2
1457	53	all the interesting developments are processed in 60 minutes	2
1458	53	all the interesting developments	3
1469	53	the rest is just an overexposed waste of film	0
1472	53	is just an overexposed waste of film	0
1487	54	a relic from a bygone era , and its convolutions ... feel	2
1488	54	relic from a bygone era , and its convolutions ... feel	2
1489	54	relic from a bygone era , and its convolutions ...	1
1491	54	from a bygone era , and its convolutions ...	2
1492	54	a bygone era , and its convolutions ...	2
1493	54	a bygone era , and its convolutions	2
1506	55	Perhaps it 's cliche to call the film ` refreshing , ' but it is .	4
1507	55	Perhaps it 's cliche to call the film ` refreshing , ' but it is	4
1508	55	Perhaps it 's cliche to call the film ` refreshing , ' but	3
1509	55	Perhaps it 's cliche to call the film ` refreshing , '	3
1510	55	Perhaps it 's cliche to call the film ` refreshing ,	2
1511	55	Perhaps it 's cliche to call the film ` refreshing	3
1513	55	it 's cliche to call the film ` refreshing	2
1514	55	's cliche to call the film ` refreshing	1
1515	55	cliche to call the film ` refreshing	2
1523	56	Both lead performances are Oscar-size .	4
1540	58	Mark Pellington 's latest pop thriller	2
1549	58	is as kooky and overeager as it is spooky and subtly in love with myth .	2
1550	58	is as kooky and overeager as it is spooky and subtly in love with myth	2
1551	58	as kooky and overeager as it is spooky and subtly in love with myth	3
1552	58	kooky and overeager as it is spooky and subtly in love with myth	3
1557	58	as it is spooky and subtly in love with myth	3
1558	58	it is spooky and subtly in love with myth	3
1559	58	is spooky and subtly in love with myth	3
1592	59	it cradles its characters , veiling tension beneath otherwise tender movements	2
1593	59	cradles its characters , veiling tension beneath otherwise tender movements	3
1598	59	veiling tension beneath otherwise tender movements	3
1602	59	beneath otherwise tender movements	3
1611	60	Transforms one of -LRB- Shakespeare 's -RRB- deepest tragedies	3
1614	60	of -LRB- Shakespeare 's -RRB- deepest tragedies	2
1615	60	-LRB- Shakespeare 's -RRB- deepest tragedies	2
1629	61	The screenplay by James Eric , James Horton and director Peter O'Fallon	2
1632	61	by James Eric , James Horton and director Peter O'Fallon	2
1633	61	James Eric , James Horton and director Peter O'Fallon	2
1647	61	... is so pat it makes your teeth hurt .	1
1648	61	is so pat it makes your teeth hurt .	1
1649	61	is so pat it makes your teeth hurt	1
1650	61	so pat it makes your teeth hurt	1
1661	62	arriving at a particularly dark moment in history	2
1663	62	at a particularly dark moment in history	2
1664	62	a particularly dark moment in history	2
1672	62	, it offers flickering reminders of the ties that bind us .	2
1673	62	it offers flickering reminders of the ties that bind us .	2
1674	62	offers flickering reminders of the ties that bind us .	3
1675	62	offers flickering reminders of the ties that bind us	3
1676	62	flickering reminders of the ties that bind us	3
1677	62	flickering reminders of the ties	2
1695	63	lack any intrigue -LRB- other than their funny accents -RRB-	1
1697	63	any intrigue -LRB- other than their funny accents -RRB-	2
1699	63	-LRB- other than their funny accents -RRB-	2
1700	63	other than their funny accents -RRB-	2
1701	63	other than their funny accents	2
1708	63	the action scenes are poorly delivered	1
1718	64	are more deeply thought through than in most ` right-thinking ' films .	2
1719	64	are more deeply thought through than in most ` right-thinking ' films	3
1723	64	thought through than in most ` right-thinking ' films	3
1725	64	through than in most ` right-thinking ' films	3
1726	64	than in most ` right-thinking ' films	2
1738	65	despite the gratuitous cinematic distractions impressed upon it	2
1739	65	the gratuitous cinematic distractions impressed upon it	2
1740	65	the gratuitous cinematic distractions	1
1741	65	gratuitous cinematic distractions	3
1761	66	is the script 's endless assault of embarrassingly ham-fisted sex jokes	0
1762	66	the script 's endless assault of embarrassingly ham-fisted sex jokes	1
1769	66	of embarrassingly ham-fisted sex jokes	1
1770	66	embarrassingly ham-fisted sex jokes	0
1778	66	reek of a script rewrite designed to garner the film a `` cooler '' PG-13 rating	1
1783	66	rewrite designed to garner the film a `` cooler '' PG-13 rating	2
1785	66	designed to garner the film a `` cooler '' PG-13 rating	2
1787	66	to garner the film a `` cooler '' PG-13 rating	2
1788	66	garner the film a `` cooler '' PG-13 rating	3
1790	66	the film a `` cooler '' PG-13 rating	2
1801	67	A smart , provocative drama that does the nearly impossible :	4
1802	67	A smart , provocative drama that does the nearly impossible	4
1809	67	that does the nearly impossible	3
1815	67	It gets under the skin of a man we only know as an evil , monstrous lunatic	2
1816	67	gets under the skin of a man we only know as an evil , monstrous lunatic	1
1818	67	under the skin of a man we only know as an evil , monstrous lunatic	1
1820	67	the skin of a man we only know as an evil , monstrous lunatic	2
1823	67	of a man we only know as an evil , monstrous lunatic	1
1824	67	a man we only know as an evil , monstrous lunatic	2
1827	67	we only know as an evil , monstrous lunatic	1
1829	67	only know as an evil , monstrous lunatic	2
1830	67	know as an evil , monstrous lunatic	1
1832	67	as an evil , monstrous lunatic	1
1849	69	many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia --	2
1853	69	-- stoner midnight flick , sci-fi deconstruction , gay fantasia --	1
1854	69	stoner midnight flick , sci-fi deconstruction , gay fantasia --	2
1855	69	stoner midnight flick , sci-fi deconstruction , gay fantasia	2
1856	69	stoner midnight flick , sci-fi deconstruction ,	2
1857	69	stoner midnight flick , sci-fi deconstruction	1
1872	69	it 's a love story as sanguine as its title .	2
1873	69	's a love story as sanguine as its title .	2
1874	69	's a love story as sanguine as its title	3
1875	69	a love story as sanguine as its title	3
1890	70	two skittish New York middle-agers who stumble into a relationship and then	2
1891	70	two skittish New York middle-agers	2
1893	70	skittish New York middle-agers	2
1899	70	who stumble into a relationship and then	2
1900	70	stumble into a relationship and then	2
1907	70	struggle furiously with their fears and foibles .	2
1908	70	struggle furiously with their fears and foibles	2
1919	71	it has an ambition to say something about its subjects , but not a willingness .	2
1920	71	has an ambition to say something about its subjects , but not a willingness .	1
1921	71	has an ambition to say something about its subjects , but not a willingness	2
1922	71	an ambition to say something about its subjects , but not a willingness	2
1923	71	an ambition to say something about its subjects , but not	2
1924	71	an ambition to say something about its subjects ,	2
1925	71	an ambition to say something about its subjects	2
1926	71	ambition to say something about its subjects	2
1928	71	to say something about its subjects	2
1929	71	say something about its subjects	3
1950	72	leave you wondering about the characters ' lives after the clever credits roll	2
1951	72	you wondering about the characters ' lives after the clever credits roll	4
1952	72	wondering about the characters ' lives after the clever credits roll	3
1953	72	wondering about the characters ' lives	2
1966	73	-LRB- An -RRB- absorbing documentary .	3
1967	73	-LRB- An -RRB- absorbing documentary	3
1973	74	Reeks of rot and hack work from start to finish .	2
1986	75	Plays like a series of vignettes --	2
1987	75	Plays like a series of vignettes	2
1992	75	clips of a film that are still looking for a common through-line	1
1994	75	of a film that are still looking for a common through-line	1
1995	75	a film that are still looking for a common through-line	1
1996	75	that are still looking for a common through-line	2
1997	75	are still looking for a common through-line	1
1999	75	looking for a common through-line	2
2014	77	The major problem with Windtalkers	1
2020	77	is that the bulk of the movie centers on the wrong character .	2
2021	77	is that the bulk of the movie centers on the wrong character	2
2022	77	that the bulk of the movie centers on the wrong character	1
2023	77	the bulk of the movie centers on the wrong character	2
2028	77	centers on the wrong character	2
2035	78	Swimfan , like Fatal Attraction ,	2
2036	78	Swimfan , like Fatal Attraction	3
2051	78	a loony melodramatic denouement	1
2057	78	in which a high school swimming pool substitutes for a bathtub	1
2058	78	a high school swimming pool substitutes for a bathtub	2
2064	78	pool substitutes for a bathtub	2
2071	79	This is a heartfelt story ... it just is n't a very involving one .	1
2072	79	This is a heartfelt story ... it just is n't a very involving one	1
2079	79	it just is n't a very involving one	1
2080	79	just is n't a very involving one	1
2088	80	An unsettling , memorable cinematic experience that	4
2089	80	An unsettling , memorable cinematic experience	3
2090	80	unsettling , memorable cinematic experience	3
2092	80	, memorable cinematic experience	4
2093	80	memorable cinematic experience	3
2128	81	Hollywood action screenwriters usually come up with on their own	2
2129	81	Hollywood action screenwriters	2
2133	81	usually come up with on their own	2
2148	82	Phillip Noyce and all of his actors	2
2156	82	-- as well as his cinematographer , Christopher Doyle --	2
2157	82	-- as well as his cinematographer , Christopher Doyle	2
2161	82	his cinematographer , Christopher Doyle	2
2168	82	understand the delicate forcefulness of Greene 's prose	2
2170	82	the delicate forcefulness of Greene 's prose	3
2180	82	it 's there on the screen in their version of The Quiet American	2
2181	82	's there on the screen in their version of The Quiet American	2
2183	82	on the screen in their version of The Quiet American	2
2184	82	the screen in their version of The Quiet American	2
2187	82	in their version of The Quiet American	2
2188	82	their version of The Quiet American	2
2198	83	lacks the quick emotional connections of Steven Spielberg 's Schindler 's List .	2
2199	83	lacks the quick emotional connections of Steven Spielberg 's Schindler 's List	1
2201	83	the quick emotional connections of Steven Spielberg 's Schindler 's List	3
2202	83	the quick emotional connections	2
2208	83	of Steven Spielberg 's Schindler 's List	3
2209	83	Steven Spielberg 's Schindler 's List	2
2218	84	Inventive , fun , intoxicatingly sexy , violent , self-indulgent and maddening .	3
2219	84	Inventive , fun , intoxicatingly sexy , violent , self-indulgent and maddening	3
2224	84	intoxicatingly sexy , violent , self-indulgent and maddening	3
2226	84	sexy , violent , self-indulgent and maddening	1
2228	84	, violent , self-indulgent and maddening	1
2229	84	violent , self-indulgent and maddening	1
2231	84	, self-indulgent and maddening	1
2235	85	Tells a fascinating , compelling story .	4
2236	85	Tells a fascinating , compelling story	3
2238	85	a fascinating , compelling story	4
2239	85	fascinating , compelling story	4
2245	86	Written , flatly , by David Kendall and directed , barely , by There	1
2246	86	Written , flatly , by David Kendall and	1
2247	86	Written , flatly , by David Kendall	1
2263	86	's Something About Mary co-writer Ed Decter .	2
2264	86	's Something About Mary co-writer Ed Decter	2
2265	86	Something About Mary co-writer Ed Decter	2
2266	86	About Mary co-writer Ed Decter	2
2279	87	viewing for its courage , ideas , technical proficiency and great acting	3
2281	87	for its courage , ideas , technical proficiency and great acting	4
2282	87	its courage , ideas , technical proficiency and great acting	4
2283	87	its courage , ideas , technical proficiency and	3
2284	87	its courage , ideas , technical proficiency	3
2297	88	In IMAX in short , it 's just as wonderful on the big screen .	4
2303	88	, it 's just as wonderful on the big screen .	3
2304	88	it 's just as wonderful on the big screen .	3
2305	88	's just as wonderful on the big screen .	4
2306	88	's just as wonderful on the big screen	3
2308	88	as wonderful on the big screen	4
2323	89	of life that 's very different from our own and yet instantly recognizable	2
2324	89	life that 's very different from our own and yet instantly recognizable	3
2325	89	that 's very different from our own and yet instantly recognizable	3
2326	89	's very different from our own and yet instantly recognizable	3
2327	89	very different from our own and yet instantly recognizable	3
2328	89	very different from our own and	2
2339	90	Amid the shock and curiosity factors	2
2341	90	the shock and curiosity factors	2
2349	90	the film is just a corny examination of a young actress trying to find her way .	1
2350	90	is just a corny examination of a young actress trying to find her way .	1
2351	90	is just a corny examination of a young actress trying to find her way	1
2352	90	a corny examination of a young actress trying to find her way	1
2357	90	of a young actress trying to find her way	2
2358	90	a young actress trying to find her way	2
2377	91	avoid solving one problem by trying to distract us with the solution to another	1
2378	91	solving one problem by trying to distract us with the solution to another	2
2382	91	by trying to distract us with the solution to another	1
2383	91	trying to distract us with the solution to another	1
2384	91	to distract us with the solution to another	2
2385	91	distract us with the solution to another	2
2397	92	's as comprehensible as any Dummies guide , something even non-techies can enjoy	3
2398	92	's as comprehensible as any Dummies guide , something	1
2399	92	as comprehensible as any Dummies guide , something	2
2400	92	comprehensible as any Dummies guide , something	2
2402	92	as any Dummies guide , something	2
2438	93	of watching Disney scrape the bottom of its own cracker barrel	2
2439	93	watching Disney scrape the bottom of its own cracker barrel	1
2440	93	Disney scrape the bottom of its own cracker barrel	0
2444	93	the bottom of its own cracker barrel	2
2453	94	Writer\/director Burr Steers emphasizes the Q in Quirky , with mixed results .	3
2459	94	emphasizes the Q in Quirky , with mixed results .	1
2460	94	emphasizes the Q in Quirky , with mixed results	2
2481	95	from reporting on the number of tumbleweeds blowing through the empty theatres	1
2482	95	reporting on the number of tumbleweeds blowing through the empty theatres	1
2484	95	on the number of tumbleweeds blowing through the empty theatres	0
2485	95	the number of tumbleweeds blowing through the empty theatres	1
2488	95	of tumbleweeds blowing through the empty theatres	0
2489	95	tumbleweeds blowing through the empty theatres	0
2491	95	blowing through the empty theatres	2
2504	96	Invigorating , surreal , and resonant with a rainbow of emotion .	4
2505	96	Invigorating , surreal , and resonant with a rainbow of emotion	4
2506	96	Invigorating , surreal , and resonant with a rainbow	4
2507	96	Invigorating , surreal , and resonant	3
2530	97	those crass , contrived sequels	0
2539	97	fails on its own , but makes you second-guess your affection for the original	0
2546	97	makes you second-guess your affection for the original	2
2547	97	you second-guess your affection for the original	1
2548	97	second-guess your affection for the original	2
2557	98	Report card : Does n't live up to the exalted tagline -	1
2558	98	Report card : Does n't live up to the exalted tagline	1
2563	98	Does n't live up to the exalted tagline	1
2564	98	live up to the exalted tagline	2
2572	98	there 's definite room for improvement .	1
2573	98	's definite room for improvement .	1
2574	98	's definite room for improvement	1
2581	99	It 's not a particularly good film , but neither is it a monsterous one .	2
2582	99	It 's not a particularly good film , but neither is it a monsterous one	1
2583	99	It 's not a particularly good film , but	1
2584	99	It 's not a particularly good film ,	1
2585	99	It 's not a particularly good film	1
2586	99	's not a particularly good film	0
2591	99	neither is it a monsterous one	2
2598	100	Tsai may be ploughing the same furrow once too often .	2
2600	100	may be ploughing the same furrow once too often .	1
2601	100	may be ploughing the same furrow once too often	1
2603	100	be ploughing the same furrow once too often	1
2604	100	ploughing the same furrow once too often	1
